Nº UGRHI,UGRHI,MUNICÍPIO,PONTO,"SISTEMA
AQUÍFERO",AMOSTRA,DATA,Sinal,Al total - µg/L,Sinal,Sb Total - µg/L,Sinal,As total - µg/L,Sinal,Ba Total - µg/L,Sinal,Be Total - µg/L,Sinal,Bo total - µg/L,Sinal,Cd Total - µg/L,Sinal,Ca Total - µg/L,Sinal,Pb Total - µg/L,Sinal,Co Total - µg/L,Sinal,Cu Total - µg/L,Sinal,Cr total - µg/L,Sinal,Dureza Total - mg/L,Sinal,Sn Total - µg/L,Sinal,Sr total - µg/L,Sinal,Fe total - µg/L,Sinal,P Total - µg/L,Sinal,Li Total - µg/L,Sinal,Mg total - µg/L,Sinal,Mn total - µg/L,Sinal,Hg total - µg/L,Sinal,Mo total - µg/L,Sinal,Ni total - µg/L,Sinal,K Total - µg/L,Sinal,Ag total - µg/L,Sinal,Se total - µg/L,Sinal,Na total - µg/L,Sinal,Ti total - µg/L,Sinal,U total - µg/L,Sinal,V total - µg/L,Sinal,Zn total - µg/L,Sinal,Cloreto - mg/L,Sinal,Fluoreto - mg/L,Sinal,Sulfato - mg/L,Sinal,Nitrogênio amoniacal - mg/L,Sinal,NKT - mg/L,Sinal,N-Nitrato - mg/L,Sinal,N-Nitrito  - mg/L,Sinal,SDT - mg/L,Sinal,Alcalinidade Bicarbonato - mg/L,Sinal,Alcalinidade Carbonato - mg/L,Sinal,Alcalinidade hidróxido - mg/L,Sinal,Alcalinidade total - mg/L,Sinal,Carbono Orgânico Dissolvido,Sinal,CE - Campo,Sinal,pH - campo,Sinal,Temp água -  °C,Sinal,Temp. ar - °C,"Coli totais 
P/A em 100 mL","E coli
P/A em 100 mL","Bac. Heter
UFC/mL"
2,PARAIBA DO SUL,PARAIBUNA,PC00366P,Pré-Cambriano/Cristalino,2306615,3/4/2023,<,2,<,0.02,<,0.2,=,42,<,0.5,=,2.52,=,0.01,=,8800,=,0.59,<,0.05,=,7.3,=,0.59,=,31.5,<,0.2,=,74,=,16.7,=,82.2,=,10.4,=,2300,=,1.93,=,0.38,=,0.08,=,0.24,=,4100,<,0.1,<,0.2,=,5100,<,0.3,=,1.26,=,1.83,=,3.78,=,2.65,<,1,<,1,<,1,<,1,=,1.07,<,0.01,<,50,=,39.1,=,0,=,0,,NA,<,1,=,96,=,5.7,=,19,=,26,Ausente,Ausente,1
2,PARAIBA DO SUL,PARAIBUNA,PC00366P,Pré-Cambriano/Cristalino,2319242,5/10/2023,=,2.53,<,0.02,<,0.2,=,39.9,<,0.5,<,2,=,0.02,=,7972,=,0.93,<,0.05,=,9.06,=,0.54,=,29.8,<,0.2,=,69.2,=,22.6,=,83.5,=,12.1,=,2407,=,9.89,=,0.32,=,0.1,=,0.48,=,4140,<,0.1,<,0.2,=,5108,<,0.3,=,0.79,=,1.96,=,4.92,=,2.84,<,1,<,1,<,0.5,=,1.91,=,1.1,<,0.01,<,50,=,39.8,=,0,=,0,,NA,=,1.48,=,114,=,7,=,23,=,27,Ausente,Ausente,1
2,PARAIBA DO SUL,PIQUETE,PC00343P,Pré-Cambriano/Cristalino,2306613,3/4/2023,=,2.96,=,0.02,=,0.26,=,41,<,0.5,=,4.42,=,0.02,=,39000,<,0.05,=,0.07,=,0.43,<,0.2,=,139,<,0.2,=,150,=,7.77,=,18.6,=,9.45,=,10000,=,7.96,<,0.1,=,2.07,=,1.05,=,6400,<,0.1,=,0.98,=,7000,<,0.3,=,53,=,3.62,=,3.16,=,6,<,1,=,12.8,<,1,<,1,=,1.36,<,0.01,=,130,=,133,=,0,=,0,,NA,<,1,=,326,=,7.3,=,23,=,26,Ausente,Ausente,1
2,PARAIBA DO SUL,PIQUETE,PC00343P,Pré-Cambriano/Cristalino,2319236,5/10/2023,=,4.13,=,0.02,=,0.29,=,39.4,<,0.5,=,3.26,=,0.02,=,37590,<,0.05,=,0.08,=,0.79,<,0.2,=,137,<,0.2,=,145,=,20.2,=,18,=,10.5,=,10550,=,13.2,<,0.1,=,2.32,=,1.13,=,6488,<,0.1,=,1.03,=,7077,<,0.3,=,51.6,=,4.11,=,1.66,=,5.7,<,1,=,12.1,<,0.5,<,0.5,=,1.34,=,0.01,=,166,=,133,=,0,=,0,,NA,<,1,=,363,=,8,=,21,=,27,Ausente,Ausente,1
2,PARAIBA DO SUL,ROSEIRA,TA00201P,Taubaté,2308249,24/4/2023,<,2,<,0.02,<,0.2,=,528,<,0.5,=,16.4,<,0.01,=,37100,=,0.07,<,0.05,=,0.33,=,0.38,=,128,<,0.2,=,524,=,86.2,=,21.6,=,9.9,=,8650,=,96.3,<,0.1,=,0.14,=,6.11,=,5260,<,0.1,<,0.2,=,3200,<,0.3,=,0.02,<,0.2,=,199,<,1,<,1,=,2.27,<,0.5,<,0.5,=,0.15,=,0.02,=,84,=,136,=,0,=,0,,NA,<,1,=,280,=,7.1,=,28,=,27,Ausente,Ausente,1
2,PARAIBA DO SUL,ROSEIRA,TA00201P,Taubaté,2320032,9/10/2023,<,2,<,0.02,<,0.2,=,537,<,0.5,=,12.4,=,0.01,=,36440,=,0.25,<,0.05,=,1,<,0.2,=,127,<,0.2,=,528,=,209,=,31.4,=,8.18,=,8811,=,101,<,0.1,=,0.14,=,1.44,=,5024,<,0.1,<,0.2,=,3523,<,0.3,=,0.02,<,0.2,=,71.3,<,1,<,1,=,2.3,<,0.5,<,0.5,=,0.22,=,0.03,=,84,=,130,=,0,=,0,,NA,=,1.31,=,314,=,7.7,=,26,=,27,Ausente,Ausente,1
2,PARAIBA DO SUL,SAO JOSE DO BARREIRO,PC00422P,Pré-Cambriano/Cristalino,2307210,11/4/2023,=,6.3,=,0.02,=,1.76,=,4.65,<,0.5,=,7.34,<,0.01,=,18100,<,0.05,<,0.05,<,0.2,<,0.2,=,54,<,0.2,=,281,<,2,=,17.4,=,1.62,=,2150,=,1.3,<,0.1,=,1.16,<,0.2,=,2460,<,0.1,<,0.2,=,16400,<,0.3,=,76.9,=,0.26,=,0.56,<,1,<,1,=,8.84,<,0.5,<,0.5,<,0.1,<,0.01,<,50,=,78.4,=,1.98,=,0,,NA,<,1,=,184,=,8.1,=,25,=,24,Ausente,Ausente,1
2,PARAIBA DO SUL,SAO JOSE DO BARREIRO,PC00422P,Pré-Cambriano/Cristalino,2319245,2/10/2023,=,2.86,=,0.09,=,0.95,=,19.2,<,0.5,=,2.94,<,0.01,=,21760,<,0.05,<,0.05,=,0.34,=,0.4,=,84.9,<,0.2,=,230,=,3.38,=,19.8,=,2.27,=,7435,=,61.3,<,0.1,=,2.15,=,0.24,=,3581,<,0.1,<,0.2,=,7216,<,0.3,=,14.7,=,1.06,=,1.8,<,1,<,1,=,3.59,<,0.5,=,10.84,=,0.25,<,0.01,=,58,=,98.9,=,0,=,0,,NA,<,1,=,236,=,8.1,=,24,=,23,Ausente,Ausente,190
2,PARAIBA DO SUL,SAO JOSE DOS CAMPOS,TA00128P,Taubaté,2308250,24/4/2023,<,2,<,0.02,=,0.7,=,50.5,<,0.5,=,10.6,<,0.01,=,7250,<,0.05,<,0.05,=,0.5,=,0.36,=,21,<,0.2,=,95,=,3.56,=,91.5,=,3.12,=,717,=,12.6,<,0.1,=,0.15,=,0.69,=,3640,<,0.1,<,0.2,=,18000,<,0.3,=,0.25,=,0.58,=,1.24,<,1,<,1,<,1,<,0.5,<,0.5,=,0.2,<,0.01,<,50,=,61.3,=,0,=,0,,NA,<,1,=,121,=,7.2,=,24,=,23,Ausente,Ausente,1
2,PARAIBA DO SUL,SILVEIRAS,PC00283P,Pré-Cambriano/Cristalino,2307211,11/4/2023,<,2,<,0.02,<,0.2,=,15.1,<,0.5,=,2.88,<,0.01,=,13600,=,0.28,<,0.05,=,1.73,<,0.2,=,43.2,<,0.2,=,115,=,12.2,=,145,=,12.6,=,2240,=,30.3,<,0.1,=,0.3,=,2.25,=,3030,<,0.1,<,0.2,=,13900,<,0.3,=,0.29,=,1.08,=,597,<,1,<,1,<,1,<,0.5,<,0.5,=,0.2,=,0.01,<,50,=,72.7,=,0,=,0,,NA,<,1,=,150,=,6.8,=,23,=,24,Ausente,Ausente,290
2,PARAIBA DO SUL,SILVEIRAS,PC00283P,Pré-Cambriano/Cristalino,2319247,2/10/2023,=,3.9,<,0.02,<,0.2,=,12.6,<,0.5,<,2,<,0.01,=,12790,=,0.23,<,0.05,=,4.85,<,0.2,=,41.5,<,0.2,=,107,=,5.79,=,112,=,14.3,=,2324,=,12.8,<,0.1,=,0.35,=,2.43,=,2873,<,0.1,<,0.2,=,14050,<,0.3,=,0.21,=,0.96,=,165,<,1,<,1,<,1,<,0.5,<,0.5,=,0.2,<,0.01,=,88,=,73.5,=,0,=,0,,NA,<,1,=,177,=,7.2,=,22,=,24,Ausente,Ausente,1
